PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
4.120000,4.130000,0.040000,0.120000,0.120000,97.650002,-0.010000,-0.540000,266.040009,25.389999,56292.488281,36.5,90.17,5.885714,PM2.5,22321
4.410000,4.430000,0.040000,0.130000,0.120000,96.260002,0.840000,-0.110000,265.070007,28.309999,55909.179688,36.52,90.34,6.300000,PM2.5,22322
4.210000,4.230000,0.040000,0.130000,0.120000,97.110001,1.200000,1.250000,264.790009,30.900000,56478.691406,36.54,90.51,6.014286,PM2.5,22323
4.500000,4.520000,0.040000,0.140000,0.120000,94.550003,0.450000,2.060000,262.890015,35.930000,56122.738281,36.56,90.68,6.428571,PM2.5,22324
2.070000,2.150000,0.240000,1.730000,0.120000,88.949997,1.550000,3.100000,261.790009,78.300003,54980.988281,34.73,78.33,3.000000,CO,22502
1.990000,2.060000,0.220000,1.470000,0.120000,90.209999,4.550000,1.740000,259.350006,87.730003,52673.140625,34.77,78.49,3.000000,CO,22503
1.910000,1.990000,0.210000,1.330000,0.120000,90.510002,5.950000,1.080000,259.420013,85.699997,52661.851562,34.8,78.65,3.000000,CO,22504
1.770000,1.840000,0.200000,1.080000,0.120000,91.690002,6.060000,0.420000,259.559998,82.320000,52543.480469,34.83,78.81,3.000000,CO,22505
1.580000,1.650000,0.190000,0.850000,0.130000,93.650002,7.110000,-1.000000,260.470001,74.309998,52659.480469,34.87,78.97,3.250000,CO,22506
1.440000,1.500000,0.180000,0.710000,0.130000,93.519997,7.790000,-0.950000,262.029999,63.250000,53278.148438,34.9,79.13,3.250000,CO,22507
1.350000,1.410000,0.170000,0.640000,0.130000,95.389999,7.290000,-0.160000,262.899994,58.759998,53634.128906,34.93,79.29,3.250000,CO,22508
1.310000,1.370000,0.160000,0.620000,0.130000,95.709999,6.920000,0.170000,263.119995,58.490002,53629.539062,34.96,79.45,3.250000,CO,22509
1.290000,1.350000,0.160000,0.620000,0.130000,95.629997,6.770000,0.180000,263.970001,57.389999,54087.839844,35.0,79.61,3.250000,CO,22510
