lat,lon,cluster
21.59,110.97,0
21.58,111.11,0
21.58,111.26,0
21.57,111.4,0
21.56,111.54,0
21.77,100.03,0
21.78,100.17,0
21.79,100.32,0
21.79,100.46,0
21.8,100.6,0
21.8,100.75,0
21.81,100.89,0
21.81,101.04,0
21.82,101.18,0
21.82,101.32,0
21.83,101.47,0
21.83,101.61,0
21.84,101.76,0
21.86,107.09,0
21.86,107.23,0
21.86,107.38,0
21.85,107.52,0
21.85,107.67,0
21.85,107.81,0
21.84,107.96,0
21.84,108.1,0
21.84,108.24,0
21.83,108.39,0
21.82,108.68,0
21.82,108.82,0
21.81,108.96,0
21.81,109.11,0
21.8,109.25,0
21.8,109.4,0
21.79,109.54,0
21.79,109.68,0
21.78,109.83,0
21.77,109.97,0
21.77,110.11,0
21.76,110.26,0
21.75,110.4,0
21.75,110.55,0
21.74,110.69,0
21.73,110.83,0
21.73,110.98,0
21.72,111.12,0
21.71,111.26,0
21.7,111.41,0
21.69,111.55,0
21.69,111.7,0
21.63,112.56,0
21.91,100.02,0
21.91,100.17,0
21.92,100.31,0
21.93,100.45,0
21.93,100.6,0
21.94,100.74,0
21.94,100.89,0
21.95,101.03,0
21.95,101.18,0
21.96,101.32,0
21.96,101.46,0
21.97,101.61,0
22.0,106.8,0
22.0,106.95,0
22.0,107.09,0
21.99,107.24,0
21.99,107.38,0
21.99,107.53,0
21.98,107.67,0
21.98,107.81,0
21.98,107.96,0
21.97,108.1,0
21.97,108.25,0
21.97,108.39,0
21.96,108.54,0
21.96,108.68,0
21.95,108.82,0
21.95,108.97,0
21.94,109.11,0
21.94,109.26,0
21.93,109.4,0
21.93,109.55,0
21.92,109.69,0
21.91,109.83,0
21.91,109.98,0
21.9,110.12,0
21.89,110.27,0
21.89,110.41,0
21.88,110.55,0
21.87,110.7,0
21.87,110.84,0
21.86,110.99,0
21.85,111.13,0
21.84,111.27,0
21.84,111.42,0
21.83,111.56,0
21.82,111.7,0
21.81,111.85,0
21.8,111.99,0
21.78,112.28,0
21.77,112.57,0
21.75,112.85,0
22.04,100.02,0
22.05,100.16,0
22.05,100.3,0
22.06,100.45,0
22.07,100.59,0
22.07,100.74,0
22.08,100.88,0
22.08,101.03,0
22.09,101.17,0
22.09,101.31,0
22.1,101.46,0
22.14,106.81,0
22.13,106.95,0
22.13,107.1,0
22.13,107.24,0
22.12,107.39,0
22.12,107.53,0
22.12,107.67,0
22.12,107.82,0
22.11,107.96,0
22.11,108.11,0
22.1,108.25,0
22.1,108.4,0
22.1,108.54,0
22.09,108.69,0
22.09,108.83,0
22.08,108.97,0
22.08,109.12,0
22.07,109.26,0
22.07,109.41,0
22.06,109.55,0
22.05,109.7,0
22.05,109.84,0
22.04,109.98,0
22.04,110.13,0
22.03,110.27,0
22.02,110.42,0
22.01,110.56,0
22.01,110.71,0
22.0,110.85,0
21.99,110.99,0
21.99,111.14,0
21.98,111.28,0
