PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI,Major pollutants,id
54.419998,60.820000,17.090000,5.850000,0.370000,98.540001,-0.570000,-0.990000,299.700012,84.519997,96340.976562,26.22,114.44,74.274994,PM2.5,4495
62.500000,69.760002,20.340000,6.920000,0.400000,96.790001,-0.210000,-1.820000,299.510010,86.379997,96143.218750,26.21,114.59,84.375000,PM2.5,4496
63.480000,70.449997,21.430000,6.580000,0.390000,96.910004,0.280000,-2.100000,300.109985,84.480003,96693.117188,26.19,114.74,85.599998,PM2.5,4497
62.630001,69.050003,20.790001,6.390000,0.380000,93.440002,0.300000,-2.380000,300.829987,82.650002,97847.312500,26.18,114.89,84.537498,PM2.5,4498
58.099998,63.709999,19.730000,6.680000,0.360000,93.540001,0.090000,-1.830000,301.329987,80.000000,98284.531250,26.17,115.04,78.875000,PM2.5,4499
51.570000,56.810001,18.219999,6.740000,0.340000,92.430000,-0.180000,-1.370000,301.549988,78.300003,98310.453125,26.16,115.19,70.712502,PM2.5,4500
44.790001,49.549999,15.760000,6.500000,0.300000,90.519997,0.090000,-0.700000,301.250000,77.769997,97471.882812,26.14,115.34,62.237503,PM2.5,4501
41.250000,45.700001,14.550000,6.520000,0.290000,90.199997,0.620000,-0.210000,300.989990,77.589996,96567.382812,26.13,115.49,57.812500,PM2.5,4502
38.349998,42.259998,12.810000,6.690000,0.270000,86.410004,0.580000,0.040000,301.410004,76.400002,97233.531250,26.12,115.64,54.187500,PM2.5,4503
35.160000,38.680000,11.410000,6.510000,0.250000,85.080002,0.370000,0.680000,301.399994,76.120003,97134.046875,26.1,115.79,50.200001,PM2.5,4504
32.900002,36.090000,10.870000,6.730000,0.240000,85.250000,0.130000,0.940000,301.029999,77.290001,96560.500000,26.09,115.94,47.000004,PM2.5,4505
30.410000,33.380001,10.650000,7.410000,0.220000,83.720001,-0.300000,1.060000,301.209991,76.669998,96906.101562,26.08,116.09,43.442856,PM2.5,4506
28.959999,31.809999,10.400000,7.890000,0.210000,80.970001,-0.570000,1.590000,300.709991,77.779999,95942.203125,26.06,116.23,41.371426,PM2.5,4507
29.320000,32.110001,10.000000,8.070000,0.210000,78.529999,0.170000,1.810000,299.190002,81.739998,93602.632812,26.05,116.38,41.885715,PM2.5,4508
46.230000,52.220001,12.720000,5.770000,0.350000,90.879997,0.440000,0.470000,297.750000,86.690002,92400.546875,26.38,114.15,64.037498,PM2.5,4631
47.950001,54.650002,14.640000,5.350000,0.380000,98.239998,-0.510000,-0.890000,299.940002,82.820000,96779.273438,26.37,114.3,66.187500,PM2.5,4632
53.310001,61.160000,17.879999,5.930000,0.410000,97.160004,-0.750000,-1.410000,300.429993,83.379997,97946.250000,26.35,114.45,72.887505,PM2.5,4633
60.340000,69.139999,21.430000,7.310000,0.430000,93.790001,-0.780000,-1.960000,300.140015,85.419998,97517.117188,26.34,114.6,81.675003,PM2.5,4634
63.279999,71.919998,22.010000,6.710000,0.410000,92.800003,-0.150000,-2.300000,299.869995,86.139999,96862.156250,26.33,114.75,85.349998,PM2.5,4635
63.220001,70.669998,21.950001,6.630000,0.390000,91.309998,0.110000,-2.590000,300.380005,83.930000,97329.570312,26.32,114.9,85.275002,PM2.5,4636
61.480000,66.959999,21.459999,6.970000,0.370000,92.690002,-0.180000,-2.290000,300.779999,80.769997,97128.281250,26.3,115.05,83.099998,PM2.5,4637
57.840000,63.180000,20.719999,7.390000,0.360000,91.459999,-0.230000,-2.160000,301.040009,79.930000,97624.843750,26.29,115.2,78.550003,PM2.5,4638
48.580002,53.450001,17.799999,7.100000,0.320000,90.110001,-0.170000,-1.280000,301.399994,78.089996,97939.429688,26.28,115.35,66.975006,PM2.5,4639
44.090000,48.520000,15.360000,6.670000,0.300000,88.730003,0.280000,-0.420000,301.010010,77.720001,96746.343750,26.27,115.5,61.362499,PM2.5,4640
41.099998,45.139999,13.730000,6.640000,0.280000,87.360001,0.540000,-0.210000,301.070007,77.820000,96949.382812,26.25,115.65,57.625000,PM2.5,4641
37.150002,40.750000,12.050000,6.450000,0.260000,85.889999,0.310000,0.290000,301.399994,76.919998,97462.382812,26.24,115.8,52.687500,PM2.5,4642
33.840000,37.099998,10.930000,6.640000,0.240000,84.309998,0.060000,0.920000,301.510010,75.760002,97292.539062,26.22,115.95,48.342857,PM2.5,4643
31.080000,34.000000,10.580000,7.080000,0.230000,84.019997,-0.290000,1.180000,301.380005,76.339996,97242.210938,26.21,116.1,44.400002,PM2.5,4644
29.280001,32.099998,9.980000,7.450000,0.220000,80.099998,-0.250000,1.680000,301.119995,76.519997,96512.593750,26.2,116.25,41.828571,PM2.5,4645
46.669998,54.110001,11.840000,5.900000,0.380000,90.620003,0.470000,0.170000,297.160004,90.430000,92130.906250,26.51,114.16,64.587494,PM2.5,4769
45.720001,53.419998,13.220000,5.740000,0.390000,94.559998,0.030000,-0.810000,299.100006,85.110001,95366.796875,26.5,114.31,63.400002,PM2.5,4770
47.169998,55.990002,15.730000,5.810000,0.410000,93.940002,-0.330000,-1.820000,300.350006,82.379997,97499.421875,26.49,114.46,65.212494,PM2.5,4771
53.880001,64.160004,19.830000,6.710000,0.430000,91.820000,-0.750000,-2.120000,300.750000,82.930000,98508.437500,26.48,114.61,73.599998,PM2.5,4772
57.230000,68.580002,21.930000,6.770000,0.440000,90.849998,-0.590000,-2.070000,300.640015,84.570000,98636.703125,26.46,114.76,77.787498,PM2.5,4773
60.160000,70.970001,23.299999,6.970000,0.410000,90.839996,-0.480000,-2.230000,300.000000,85.699997,97159.226562,26.45,114.91,81.449997,PM2.5,4774
67.510002,73.169998,23.570000,7.670000,0.380000,91.430000,-0.260000,-2.260000,299.589996,85.309998,95909.929688,26.44,115.06,90.637505,PM2.5,4775
62.759998,68.320000,22.600000,7.960000,0.380000,89.980003,0.120000,-2.360000,300.260010,82.769997,96759.500000,26.43,115.21,84.699997,PM2.5,4776
53.349998,58.560001,20.090000,7.900000,0.350000,89.720001,-0.210000,-1.890000,301.049988,79.379997,97655.617188,26.41,115.37,72.937500,PM2.5,4777
46.299999,50.849998,16.510000,6.910000,0.310000,88.320000,-0.160000,-0.830000,300.829987,78.559998,96770.351562,26.4,115.52,64.125000,PM2.5,4778
43.660000,47.810001,14.730000,6.560000,0.290000,88.029999,0.200000,-0.410000,300.459991,79.650002,96159.859375,26.39,115.67,60.825001,PM2.5,4779
40.790001,44.630001,13.340000,6.620000,0.280000,87.080002,0.080000,-0.340000,300.799988,79.279999,96870.429688,26.37,115.82,57.237503,PM2.5,4780
36.150002,39.599998,11.720000,6.780000,0.250000,84.769997,-0.260000,0.230000,301.329987,77.379997,97583.929688,26.36,115.97,51.437500,PM2.5,4781
33.099998,36.189999,10.950000,7.100000,0.240000,83.379997,-0.450000,0.830000,301.119995,77.379997,97096.421875,26.34,116.12,47.285713,PM2.5,4782
