PM2_5,PM10,SO2,NO2,CO,O3,Time
97.360001,146.869995,40.560001,79.440002,1.610000,38.880001,2013-06-22
153.639999,228.440002,41.110001,63.080002,1.600000,57.410000,2013-06-23
148.380005,225.809998,39.340000,42.189999,1.280000,102.970001,2013-06-24
108.180000,199.050003,38.090000,31.370001,0.990000,114.220001,2013-06-25
44.080002,94.150002,37.279999,30.969999,0.840000,102.849998,2013-06-26
70.839996,121.599998,39.060001,29.930000,0.830000,122.400002,2013-06-27
63.900002,123.949997,42.919998,33.730000,0.940000,154.229996,2013-06-28
49.450001,94.940002,31.809999,21.500000,0.540000,143.720001,2013-06-29
67.690002,110.900002,30.490000,19.450001,0.570000,124.489998,2013-06-30
66.720001,113.349998,30.309999,21.420000,0.620000,81.930000,2013-07-01
27.530001,80.160004,36.340000,34.150002,0.540000,98.970001,2013-07-02
64.360001,121.489998,36.230000,29.870001,0.620000,113.760002,2013-07-03
41.070000,77.989998,33.700001,32.320000,0.660000,80.440002,2013-07-04
42.169998,95.400002,42.439999,35.480000,0.620000,125.430000,2013-07-05
92.839996,151.270004,51.320000,27.980000,0.690000,161.649994,2013-07-06
89.050003,132.570007,35.310001,26.830000,0.670000,117.980003,2013-07-07
78.339996,130.619995,33.959999,26.860001,0.660000,138.399994,2013-07-08
46.290001,90.110001,31.049999,38.820000,0.850000,66.510002,2013-07-09
84.769997,136.929993,35.049999,37.820000,1.090000,39.709999,2013-07-10
63.650002,104.580002,36.340000,29.540001,0.860000,33.570000,2013-07-11
59.299999,94.040001,45.200001,35.090000,1.070000,53.110001,2013-07-12
82.050003,131.169998,48.310001,65.680000,2.030000,26.700001,2013-07-13
116.660004,192.179993,61.880001,65.930000,2.000000,44.540001,2013-07-14
50.650002,92.510002,35.180000,28.740000,0.730000,65.820000,2013-07-15
63.520000,101.599998,40.970001,26.290001,0.910000,94.769997,2013-07-16
91.779999,160.580002,60.840000,56.380001,1.460000,115.290001,2013-07-17
103.470001,158.789993,45.650002,40.540001,1.060000,76.849998,2013-07-18
116.870003,181.250000,38.000000,51.029999,1.510000,29.209999,2013-07-19
126.419998,214.449997,73.349998,48.130001,1.810000,60.470001,2013-07-20
151.440002,276.480011,106.199997,59.189999,2.090000,93.059998,2013-07-21
159.740005,290.660004,73.750000,59.410000,1.600000,100.910004,2013-07-22
114.339996,183.020004,34.919998,34.910000,1.190000,57.200001,2013-07-23
65.120003,115.309998,33.689999,28.900000,0.980000,117.400002,2013-07-24
98.290001,178.470001,38.619999,50.259998,1.290000,78.790001,2013-07-25
88.250000,162.419998,35.110001,67.099998,2.290000,26.459999,2013-07-26
71.389999,137.809998,32.340000,28.070000,1.170000,68.120003,2013-07-27
67.940002,128.509995,34.599998,24.100000,1.090000,66.080002,2013-07-28
77.389999,145.179993,36.250000,35.310001,1.180000,70.099998,2013-07-29
67.099998,110.720001,49.049999,29.059999,0.840000,83.870003,2013-07-30
89.239998,141.729996,36.139999,28.809999,0.880000,108.830002,2013-07-31
85.239998,134.619995,34.720001,28.700001,0.940000,75.529999,2013-08-01
58.400002,92.629997,30.639999,31.010000,0.650000,66.150002,2013-08-02
52.169998,82.470001,31.450001,27.510000,0.590000,86.309998,2013-08-03
59.290001,90.660004,33.439999,16.610001,0.580000,100.599998,2013-08-04
53.419998,86.970001,31.889999,20.850000,0.590000,101.199997,2013-08-05
47.630001,85.089996,33.980000,21.240000,0.670000,102.930000,2013-08-06
35.380001,68.589996,32.070000,24.530001,0.610000,95.110001,2013-08-07
91.519997,146.070007,72.589996,46.450001,0.980000,80.160004,2013-08-08
58.759998,106.949997,38.959999,27.170000,0.860000,118.910004,2013-08-09
64.779999,120.360001,45.299999,42.360001,1.030000,94.599998,2013-08-10
72.089996,128.360001,40.160000,31.379999,0.880000,105.050003,2013-08-11
36.060001,72.820000,34.090000,19.680000,0.660000,94.360001,2013-08-12
44.680000,80.370003,36.580002,23.600000,0.880000,114.839996,2013-08-13
101.529999,169.389999,56.750000,28.139999,1.270000,131.559998,2013-08-14
74.510002,122.370003,38.750000,29.020000,0.790000,142.750000,2013-08-15
53.110001,104.209999,33.740002,22.170000,0.670000,129.580002,2013-08-16
49.709999,91.599998,39.320000,33.900002,0.740000,131.070007,2013-08-17
36.490002,86.300003,55.549999,37.980000,1.000000,93.260002,2013-08-18
58.419998,127.809998,103.680000,57.619999,1.570000,98.209999,2013-08-19
