PM2_5,PM10,SO2,NO2,CO,O3,Time
37.900002,67.099998,18.270000,24.570000,1.460000,63.029999,2013-08-02
50.660000,110.150002,19.680000,30.430000,1.580000,49.880001,2013-08-03
53.529999,119.580002,19.850000,31.860001,1.470000,47.930000,2013-08-04
39.230000,95.699997,21.260000,33.959999,1.390000,53.160000,2013-08-05
41.060001,98.190002,22.650000,32.020000,1.430000,52.590000,2013-08-06
38.509998,68.209999,19.100000,28.840000,1.460000,54.279999,2013-08-07
35.259998,62.130001,30.790001,39.490002,1.620000,46.419998,2013-08-08
40.950001,90.930000,28.760000,40.619999,1.730000,49.060001,2013-08-09
76.900002,134.339996,18.610001,41.480000,1.880000,57.040001,2013-08-10
49.169998,83.070000,17.290001,27.420000,1.660000,57.470001,2013-08-11
32.160000,57.439999,18.920000,40.150002,1.640000,50.689999,2013-08-12
59.070000,113.510002,20.799999,43.049999,1.810000,51.880001,2013-08-13
57.720001,113.559998,21.879999,37.310001,1.790000,54.660000,2013-08-14
57.209999,113.709999,20.360001,31.000000,1.790000,57.130001,2013-08-15
51.630001,111.059998,23.620001,34.160000,1.550000,60.340000,2013-08-16
67.849998,157.690002,39.139999,42.279999,1.790000,61.779999,2013-08-17
46.790001,89.529999,26.629999,28.420000,1.750000,72.160004,2013-08-18
32.840000,64.669998,31.129999,29.620001,1.640000,74.739998,2013-08-19
57.799999,106.930000,33.720001,33.840000,1.720000,77.550003,2013-08-20
63.630001,121.250000,25.450001,44.720001,1.810000,75.029999,2013-08-21
72.260002,103.250000,30.930000,32.980000,1.920000,85.849998,2013-08-22
130.910004,172.179993,43.509998,28.219999,2.410000,97.160004,2013-08-23
52.820000,85.760002,42.950001,33.480000,2.440000,74.349998,2013-08-24
60.959999,87.339996,27.340000,36.910000,2.310000,53.400002,2013-08-25
50.740002,81.120003,33.900002,43.209999,1.980000,50.240002,2013-08-26
53.099998,67.440002,22.879999,29.490000,1.960000,44.799999,2013-08-27
69.650002,83.949997,32.250000,33.939999,1.910000,47.090000,2013-08-28
37.020000,59.900002,51.930000,42.930000,1.520000,48.580002,2013-08-29
28.370001,54.689999,35.259998,26.240000,1.670000,56.169998,2013-08-30
37.299999,55.400002,30.240000,31.670000,1.810000,66.910004,2013-08-31
56.990002,73.239998,41.000000,40.560001,1.930000,82.870003,2013-09-01
57.540001,91.730003,40.480000,51.220001,2.030000,69.970001,2013-09-02
71.400002,120.139999,34.939999,57.040001,1.980000,59.599998,2013-09-03
70.250000,113.389999,43.430000,47.910000,2.090000,68.940002,2013-09-04
60.360001,92.139999,29.790001,31.990000,1.700000,78.529999,2013-09-05
62.330002,103.839996,34.160000,41.970001,1.800000,67.690002,2013-09-06
66.220001,103.339996,27.950001,38.959999,2.080000,62.250000,2013-09-07
53.910000,65.970001,20.440001,43.689999,2.010000,38.889999,2013-09-08
66.980003,81.360001,31.690001,50.230000,2.040000,29.770000,2013-09-09
133.020004,177.009995,33.849998,49.700001,2.490000,47.900002,2013-09-10
137.350006,172.979996,40.200001,58.470001,2.420000,52.880001,2013-09-11
147.440002,184.779999,38.369999,55.700001,2.420000,45.290001,2013-09-12
